S1	S3
91	67
84	88
91	89
93	88
88	84
79	83
82	66
89	87
91	95
89	90
89	77
95	92
86	87
91	85
79	75
74	80
49	70
75	77
94	92
88	90
78	90
79	87
49	70
87	80
83	85
89	82
83	91
86	84
81	79
68	59
97	95
80	57
84	75
81	85
90	86
71	60
82	82
94	92
85	88
81	84
75	65
82	88
88	86
87	76
86	85
85	74
84	82
96	96
75	86
82	84
83	82
86	78
81	88
82	84
85	95
81	78
90	90
85	77
89	82
82	77
79	51
72	52
88	93
89	88
82	73
86	87
84	82
71	63
68	74
89	84
85	76
69	57
76	72
89	86
70	78
96	85
73	84
87	82
77	85
61	63
70	78
81	80
88	87
67	58
84	92
63	75
64	64
92	69
83	81
76	69
90	80
68	63
74	71
88	86
69	65
88	96
78	84
84	79
81	88
88	83
76	82
80	69
83	88
88	86
78	79
93	87
85	86
62	79
81	87
82	77
72	74
85	86
88	88
85	89
87	94
81	75
62	60
96	98
94	93
79	74
88	87
73	92
90	91
69	59
72	78
78	81
84	82
91	92
85	92
86	88
87	85
85	91
81	85
82	82
85	86
78	87
81	84
69	67
98	97
79	73
79	76
96	96
78	68
68	59
57	40
78	71
73	84
82	73
